median,lci,uci,efficiency,failure_to_report,insurance_loss
10768.099477855547,2204.533118065988,22189.627176797094,0.06,0.65,7332449.318701001
10933.762546745595,2238.449012190098,22531.00605644012,0.06,0.66,7445256.231296401
11099.4256156357,2272.364906314097,22872.384936083155,0.06,0.67,7558063.143891801
11265.08868452569,2306.2808004382127,23213.763815726186,0.06,0.6799999999999999,7670870.0564872
11430.751753415912,2340.196694562439,23555.14269536922,0.06,0.69,7783676.9690826
11596.414822306018,2374.112588686441,23896.52157501214,0.06,0.7,7896483.881678
11762.077891196066,2408.0284828105505,24237.900454655177,0.06,0.71,8009290.794273401
11927.740960086172,2441.9443769346635,24579.279334298204,0.06,0.72,8122097.7068688
12093.40402897622,2475.860271058779,24920.658213941348,0.06,0.73,8234904.619464201
12259.06709786621,2509.776165182778,25262.037093584386,0.06,0.74,8347711.532059601
12424.73016675649,2543.6920593068908,25603.41597322753,0.06,0.75,8460518.444655001
12590.393235646538,2577.6079534310034,25944.79485287056,0.06,0.76,8573325.3572504
12756.056304536702,2611.5238475550027,26286.17373251359,0.06,0.77,8686132.2698458
12921.719373426691,2645.4397416791153,26627.552612156625,0.06,0.78,8798939.182441201
13087.382442316739,2679.355635803231,26968.931491799656,0.06,0.79,8911746.095036602
13253.045511206787,2713.2715299273436,27310.310371442574,0.06,0.8,9024553.007632
13418.708580096893,2747.187424051343,27651.689251085496,0.06,0.81,9137359.920227401
13584.371648986998,2781.103318175569,27993.068130728643,0.06,0.8200000000000001,9250166.832822802
13750.034717877104,2815.019212299682,28334.447010371674,0.06,0.8300000000000001,9362973.745418202
13915.69778676721,2848.935106423911,28675.825890014705,0.06,0.8400000000000001,9475780.6580136
14081.3608556572,2882.8510005477965,29017.204769657626,0.06,0.8500000000000001,9588587.570609001
14247.023924547248,2916.766894671903,29358.583649300657,0.06,0.86,9701394.4832044
14412.686993437354,2950.6827887960217,29699.962528943914,0.06,0.87,9814201.3957998
14578.350062327518,2984.598682920021,30041.34140858684,0.06,0.88,9927008.308395201
14744.013131217682,3018.514577044131,30382.720288229866,0.06,0.89,10039815.2209906
14909.67620010773,3052.4304711682494,30724.099167872904,0.06,0.9,10152622.133586
8254.7056557631,1689.9706429569023,17010.322140157226,0.07,0.5,5620974.340565
8419.799768878322,1723.7700558160345,17350.528582960196,0.07,0.51,5733393.8273763
8584.89388199366,1757.5694686751697,17690.7350257634,0.07,0.52,5845813.3141876
8749.987995108822,1791.3688815344185,18030.9414685666,0.07,0.53,5958232.8009989
8915.082108224102,1825.168294393548,18371.147911369917,0.07,0.54,6070652.2878102
9080.176221339323,1858.9677072526802,18711.35435417289,0.07,0.55,6183071.774621501
9245.270334454544,1892.7671201118123,19051.560796976093,0.07,0.56,6295491.2614328
9410.364447569882,1926.566532970837,19391.767239779292,0.07,0.5700000000000001,6407910.7482441
9575.458560685162,1960.3659458300829,19731.973682582266,0.07,0.58,6520330.235055399
9740.5526738005,1994.1653586893285,20072.18012538547,0.07,0.59,6632749.721866699
9905.646786915779,2027.9647715483502,20412.38656818867,0.07,0.6,6745169.208678
10070.740900031,2061.764184407599,20752.593010991874,0.07,0.61,6857588.6954892995
10235.835013146338,2095.563597266734,21092.799453794847,0.07,0.62,6970008.182300599
10400.929126261442,2129.3630101256394,21433.005896598046,0.07,0.63,7082427.6691119
10566.023239376664,2163.1624229848853,21773.212339401365,0.07,0.64,7194847.1559232
10731.117352492001,2196.961835844128,22113.41878220434,0.07,0.65,7307266.6427345
10896.211465607223,2230.7612487031497,22453.62522500742,0.07,0.66,7419686.1295458
11061.30557872256,2264.5606615623983,22793.831667810624,0.07,0.67,7532105.6163571
11226.39969183784,2298.360074421644,23134.038110613827,0.07,0.6799999999999999,7644525.103168399
11391.493804953003,2332.1594872805495,23474.24455341691,0.07,0.69,7756944.589979699
11556.58791806834,2365.9589001396876,23814.450996220115,0.07,0.7,7869364.076790999
11721.68203118362,2399.7583129989334,24154.657439023315,0.07,0.71,7981783.563602299
11886.776144298841,2433.5577258579524,24494.86388182629,0.07,0.72,8094203.050413599
12051.870257414179,2467.357138717198,24835.070324629494,0.07,0.73,8206622.537224899
12216.964370529458,2501.1565515764496,25175.276767432693,0.07,0.74,8319042.0240362
12382.058483644738,2534.9559644354686,25515.48321023601,0.07,0.75,8431461.5108475
12547.152596759901,2568.7553772946007,25855.689653038866,0.07,0.76,8543880.9976588
12712.24670987518,2602.554790153733,26195.89609584218,0.07,0.77,8656300.4844701
12877.34082299046,2636.354203012871,26536.102538645267,0.07,0.78,8768719.9712814
13042.434936105623,2670.1536158720005,26876.30898144825,0.07,0.79,8881139.4580927
13207.52904922096,2703.9530287312464,27216.515424251556,0.07,0.8,8993558.944904
13372.623162336182,2737.7524415903786,27556.72186705476,0.07,0.81,9105978.4317153
13537.717275451403,2771.5518544495167,27896.928309857736,0.07,0.8200000000000001,9218397.918526601
